date,date_start,date_end,date_middle,sample_size,party,total,male,female,age_18_34,age_35_54,age_55,class_abc1,class_c2de,class_f,region_dublin,region_leinster,region_munster,region_connacht_ulster,area_urban,area_rural,const_seats_3,const_seats_4,const_seats_5
2015-11-15,2015-10-30,2015-11-11,2015-11-05,927,Green Party,0.01,0.01,0.01,0.02,0.01,0,0.02,0,0,0.02,0,0,0.02,0.01,0.01,0,0.02,0.01
2015-11-15,2015-10-30,2015-11-11,2015-11-05,927,Independent Alliance,0.02,0.02,0.02,0.01,0.02,0.02,0.02,0.02,0.02,0.01,0.02,0.01,0.03,0.02,0.02,0,0.02,0.03
2015-11-15,2015-10-30,2015-11-11,2015-11-05,927,Labour,0.07,0.05,0.1,0.07,0.08,0.07,0.07,0.07,0.11,0.09,0.12,0.05,0.01,0.1,0.03,0.12,0.06,0.06
2015-11-15,2015-10-30,2015-11-11,2015-11-05,927,Other Independent Candidate,0.12,0.1,0.14,0.09,0.17,0.1,0.13,0.12,0.06,0.13,0.15,0.11,0.11,0.11,0.15,0.19,0.11,0.1
2015-11-15,2015-10-30,2015-11-11,2015-11-05,927,RENUA,0.01,0,0.02,0.01,0.01,0.01,0.01,0.01,0,0.01,0.01,0.01,0.01,0.02,0,0,0.02,0.01
2015-11-15,2015-10-30,2015-11-11,2015-11-05,927,Sinn Féin,0.2,0.21,0.2,0.33,0.21,0.11,0.15,0.28,0.02,0.2,0.21,0.23,0.17,0.22,0.19,0.14,0.23,0.22
2015-11-15,2015-10-30,2015-11-11,2015-11-05,927,Social Democrats,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0,0,0.02,0,0.01,0.01,0.01,0,0,0.02
2015-11-15,2015-10-30,2015-11-11,2015-11-05,927,Socialist Party,0.01,0.01,0.01,0.04,0,0.01,0.01,0.02,0,0.04,0,0,0,0.02,0,0,0.02,0.01
2015-11-15,2015-10-30,2015-11-11,2015-11-05,927,Solidarity/PBP,0.05,0.07,0.02,0.04,0.04,0.06,0.05,0.05,0,0.1,0.02,0.04,0.02,0.06,0.02,0.01,0.04,0.07
2015-11-15,2015-10-30,2015-11-11,2015-11-05,927,Workers Party,0,0.01,0,0.01,0,0,0.01,0,0,0.01,0,0,0,0.01,0,0,0.01,0
