date,date_start,date_end,date_middle,sample_size,satisfaction_government,total,male,female,age_18_34,age_35_54,age_55,class_abc1,class_c2de,class_f,region_dublin,region_leinster,region_munster,region_connacht_ulster,area_urban,area_rural,const_seats_3,const_seats_4,const_seats_5,voting_vote,voting_prob_vote,voting_undecided,voting_not_vote,future_fianna_fail,future_fine_gael,future_labour,future_greens,future_sinn_fein,future_ind_oth,future_dont_know,past_fianna_fail,past_fine_gael,past_labour,past_greens,past_sinn_fein,past_ind_oth,past_dont_know
2015-08-15,2015-08-02,2015-08-12,2015-08-07,898,Satisfied,966,510,456,271,363,332,464,384,118,316,223,264,162,599,366,226,367,373,926,119,11,27,114,495,57,20,57,78,144,NA,NA,NA,NA,NA,NA,NA
2015-08-15,2015-08-02,2015-08-12,2015-08-07,898,Dissatisfied,1977,986,991,594,778,605,714,1172,90,548,551,512,365,1191,786,604,700,674,1682,256,122,126,359,83,49,25,425,518,519,NA,NA,NA,NA,NA,NA,NA
2015-08-15,2015-08-02,2015-08-12,2015-08-07,898,No opinion,301,111,190,171,77,53,136,161,4,49,85,90,78,155,146,132,39,130,198,38,22,57,47,31,15,2,17,20,168,NA,NA,NA,NA,NA,NA,NA
2015-10-18,2015-10-05,2015-10-14,2015-10-09,912,Satisfied,1061,573,487,283,417,360,492,467,101,300,239,272,250,597,464,295,474,292,998,156,17,40,149,488,110,22,50,102,139,NA,NA,NA,NA,NA,NA,NA
2015-10-18,2015-10-05,2015-10-14,2015-10-09,912,Dissatisfied,1950,885,1066,639,719,592,713,1133,104,516,546,560,329,1185,766,451,785,714,1756,256,42,149,289,84,58,21,449,504,544,NA,NA,NA,NA,NA,NA,NA
2015-10-18,2015-10-05,2015-10-14,2015-10-09,912,No opinion,184,82,102,98,49,36,111,66,6,37,57,62,27,118,66,38,80,65,141,40,4,39,46,5,5,2,24,26,75,NA,NA,NA,NA,NA,NA,NA
2015-11-15,2015-10-30,2015-11-11,2015-11-05,927,Satisfied,907,505,402,268,312,326,456,377,74,246,237,248,175,529,378,235,362,310,844,173,46,11,82,417,81,4,60,66,197,NA,NA,NA,NA,NA,NA,NA
2015-11-15,2015-10-30,2015-11-11,2015-11-05,927,Dissatisfied,1993,926,1067,574,789,631,713,1146,134,588,519,527,359,1235,758,416,839,738,1656,310,127,195,348,122,73,14,439,489,508,NA,NA,NA,NA,NA,NA,NA
2015-11-15,2015-10-30,2015-11-11,2015-11-05,927,No opinion,326,143,184,184,112,30,156,163,7,56,96,111,63,167,159,83,118,125,222,45,33,60,17,44,8,4,56,47,150,NA,NA,NA,NA,NA,NA,NA
2015-12-12,2015-11-30,2015-12-09,2015-12-04,918,Satisfied,1107,584,523,297,382,428,526,477,105,277,290,308,232,558,550,239,544,324,1060,67,31,14,157,518,84,29,64,70,185,NA,NA,NA,NA,NA,NA,NA
2015-12-12,2015-11-30,2015-12-09,2015-12-04,918,Dissatisfied,1803,874,929,597,691,515,677,1047,79,506,476,499,322,1214,589,396,767,639,1507,281,139,153,296,74,59,35,392,401,546,NA,NA,NA,NA,NA,NA,NA
2015-12-12,2015-11-30,2015-12-09,2015-12-04,918,No opinion,292,87,205,135,108,49,110,163,19,92,64,83,54,172,120,71,159,62,211,73,38,35,44,34,12,7,47,38,111,NA,NA,NA,NA,NA,NA,NA
2016-01-16,2016-01-04,2016-01-13,2016-01-08,916,Satisfied,1056,542,514,295,389,371,556,431,69,339,248,303,165,618,437,245,475,336,1003,133,16,29,145,536,69,9,33,71,193,NA,NA,NA,NA,NA,NA,NA
2016-01-16,2016-01-04,2016-01-13,2016-01-08,916,Dissatisfied,1891,935,955,547,754,590,627,1131,133,508,520,481,381,1182,709,448,761,682,1574,306,113,181,314,97,50,40,380,477,533,NA,NA,NA,NA,NA,NA,NA
2016-01-16,2016-01-04,2016-01-13,2016-01-08,916,No opinion,300,110,190,172,97,31,135,151,13,56,104,70,70,167,133,75,76,148,181,58,57,53,19,31,6,5,32,58,148,NA,NA,NA,NA,NA,NA,NA
2016-02-06,2016-02-01,2016-02-02,2016-02-01,1011,Satisfied,1092,599,493,331,378,383,527,452,114,289,297,273,233,620,472,316,453,324,1043,118,31,10,135,541,95,29,40,117,135,NA,NA,NA,NA,NA,NA,NA
2016-02-06,2016-02-01,2016-02-02,2016-02-01,1011,Dissatisfied,1923,853,1070,618,740,564,708,1128,88,540,517,522,344,1207,716,490,783,650,1737,262,98,61,349,105,81,23,467,471,428,NA,NA,NA,NA,NA,NA,NA
2016-02-06,2016-02-01,2016-02-02,2016-02-01,1011,No opinion,210,118,92,76,90,44,85,117,8,61,37,83,29,121,89,60,72,78,150,13,30,30,24,46,8,7,21,32,72,NA,NA,NA,NA,NA,NA,NA
2016-02-20,2016-02-15,2016-02-16,2016-02-15,1026,Satisfied,1057,559,499,248,390,419,524,414,119,346,238,273,200,672,385,247,508,303,1015,92,33,9,102,625,55,15,35,154,71,NA,NA,NA,NA,NA,NA,NA
2016-02-20,2016-02-15,2016-02-16,2016-02-15,1026,Dissatisfied,1968,923,1045,671,764,534,730,1153,86,513,559,532,365,1176,792,549,701,718,1795,202,76,94,466,118,50,40,381,530,383,NA,NA,NA,NA,NA,NA,NA
2016-02-20,2016-02-15,2016-02-16,2016-02-15,1026,No opinion,199,89,110,106,54,39,65,130,5,31,55,72,42,100,100,56,61,82,153,24,24,14,41,16,9,NA,27,23,84,NA,NA,NA,NA,NA,NA,NA
2016-04-16,2016-04-03,2016-04-13,2016-04-08,926,Satisfied,693,350,343,232,250,211,351,287,54,186,124,205,176,418,275,152,336,205,640,118,27,18,118,334,23,25,40,73,79,NA,NA,NA,NA,NA,NA,NA
2016-04-16,2016-04-03,2016-04-13,2016-04-08,926,Dissatisfied,2292,1102,1190,704,847,741,879,1262,151,656,637,627,372,1376,916,537,919,836,1993,253,106,157,538,247,54,39,423,605,386,NA,NA,NA,NA,NA,NA,NA
2016-04-16,2016-04-03,2016-04-13,2016-04-08,926,No opinion,212,97,115,83,95,35,96,109,7,41,57,66,48,133,79,42,86,84,135,32,20,24,35,25,NA,2,18,45,87,NA,NA,NA,NA,NA,NA,NA
2016-05-11,2016-05-01,2016-05-11,2016-05-06,898,Satisfied,739,440,299,224,255,260,371,340,28,254,123,223,139,430,309,149,314,277,649,73,50,23,143,353,29,18,40,66,90,NA,NA,NA,NA,NA,NA,NA
2016-05-11,2016-05-01,2016-05-11,2016-05-06,898,Dissatisfied,2098,1000,1098,580,868,650,805,1122,171,491,613,585,408,1229,869,512,846,740,1793,221,88,178,525,238,61,35,299,441,498,NA,NA,NA,NA,NA,NA,NA
2016-05-11,2016-05-01,2016-05-11,2016-05-06,898,No opinion,300,97,203,176,57,67,120,165,16,86,98,65,53,199,102,86,122,93,201,77,31,46,47,51,15,11,9,43,124,NA,NA,NA,NA,NA,NA,NA
2016-06-15,2016-06-03,2016-06-15,2016-06-09,913,Satisfied,858,444,415,262,314,283,435,349,75,319,179,213,147,532,327,174,393,292,793,91,27,28,171,419,33,26,20,82,107,NA,NA,NA,NA,NA,NA,NA
2016-06-15,2016-06-03,2016-06-15,2016-06-09,913,Dissatisfied,2059,1013,1046,642,800,616,756,1205,98,546,554,554,405,1223,836,401,824,834,1820,265,71,134,420,198,103,45,436,492,365,NA,NA,NA,NA,NA,NA,NA
2016-06-15,2016-06-03,2016-06-15,2016-06-09,913,No opinion,328,139,189,141,94,92,118,168,41,64,122,89,53,197,131,112,122,94,238,55,20,66,63,54,12,NA,30,43,127,NA,NA,NA,NA,NA,NA,NA
2016-07-13,2016-07-01,2016-07-13,2016-07-07,909,Satisfied,969,510,459,343,302,324,514,370,85,297,168,355,149,611,358,168,505,297,916,164,24,17,246,473,23,6,52,41,128,NA,NA,NA,NA,NA,NA,NA
2016-07-13,2016-07-01,2016-07-13,2016-07-07,909,Dissatisfied,1924,889,1035,515,779,630,688,1111,125,532,584,420,387,1162,762,588,608,727,1641,247,117,146,436,151,70,15,335,515,403,NA,NA,NA,NA,NA,NA,NA
2016-07-13,2016-07-01,2016-07-13,2016-07-07,909,No opinion,315,180,135,161,122,32,131,180,5,70,98,105,42,164,151,67,118,130,245,61,37,22,54,26,16,NA,25,59,135,NA,NA,NA,NA,NA,NA,NA
2016-09-14,2016-09-04,2016-09-14,2016-09-09,911,Satisfied,1149,599,550,409,426,314,512,561,76,280,295,323,251,677,472,210,520,419,1086,207,30,13,225,469,57,4,68,123,203,NA,NA,NA,NA,NA,NA,NA
2016-09-14,2016-09-04,2016-09-14,2016-09-09,911,Dissatisfied,1728,790,938,517,616,595,650,971,107,560,466,445,257,1138,590,381,636,712,1550,221,51,115,367,135,43,29,362,409,383,NA,NA,NA,NA,NA,NA,NA
2016-09-14,2016-09-04,2016-09-14,2016-09-09,911,No opinion,350,157,193,181,101,68,148,170,32,75,101,75,99,176,174,62,175,113,241,29,30,59,73,12,15,NA,42,50,159,NA,NA,NA,NA,NA,NA,NA
2016-11-09,2016-11-01,2016-11-09,2016-11-05,924,Satisfied,1111,632,479,345,396,370,520,492,98,312,253,329,217,643,468,267,479,365,1013,180,34,27,232,584,33,6,89,54,114,NA,NA,NA,NA,NA,NA,NA
2016-11-09,2016-11-01,2016-11-09,2016-11-05,924,Dissatisfied,1863,858,1005,508,777,578,695,1051,117,495,544,467,358,1091,772,390,714,759,1682,274,105,71,423,137,42,22,431,393,415,NA,NA,NA,NA,NA,NA,NA
2016-11-09,2016-11-01,2016-11-09,2016-11-05,924,No opinion,304,116,188,208,59,37,134,170,NA,140,69,63,31,240,64,29,167,107,201,65,46,29,34,25,1,22,35,19,168,NA,NA,NA,NA,NA,NA,NA
2017-01-16,2017-01-03,2017-01-16,2017-01-09,921,Satisfied,989,504,485,278,340,370,428,511,50,244,263,237,244,612,377,158,385,443,905,147,36,41,209,402,45,23,25,120,164,NA,NA,NA,NA,NA,NA,NA
2017-01-16,2017-01-03,2017-01-16,2017-01-09,921,Dissatisfied,1954,955,1000,616,768,571,763,1042,149,558,513,574,310,1151,803,449,700,806,1659,295,100,167,443,148,69,15,341,484,454,NA,NA,NA,NA,NA,NA,NA
2017-01-16,2017-01-03,2017-01-16,2017-01-09,921,No opinion,261,124,137,138,88,35,118,127,16,82,89,47,42,150,111,57,91,113,172,35,39,45,12,56,2,NA,19,42,130,NA,NA,NA,NA,NA,NA,NA
2017-02-11,2017-01-31,2017-02-08,2017-02-04,955,Satisfied,966,569,398,328,325,314,405,510,51,307,211,258,190,640,326,183,493,291,874,85,49,33,236,342,49,6,91,120,123,NA,NA,NA,NA,NA,NA,NA
2017-02-11,2017-01-31,2017-02-08,2017-02-04,955,Dissatisfied,2078,939,1140,607,846,625,868,1062,148,568,551,587,373,1218,860,456,793,829,1867,328,86,108,605,136,57,19,442,362,457,NA,NA,NA,NA,NA,NA,NA
2017-02-11,2017-01-31,2017-02-08,2017-02-04,955,No opinion,246,108,138,126,64,56,80,156,10,60,72,83,31,153,93,75,76,95,146,34,22,47,50,13,14,3,39,23,104,NA,NA,NA,NA,NA,NA,NA
2017-03-08,2017-02-28,2017-03-08,2017-03-04,934,Satisfied,852,494,358,316,265,271,389,371,92,288,162,203,199,551,301,153,454,246,754,140,60,30,205,373,40,4,31,39,160,NA,NA,NA,NA,NA,NA,NA
2017-03-08,2017-02-28,2017-03-08,2017-03-04,934,Dissatisfied,2114,964,1150,565,860,689,822,1182,110,618,620,518,358,1336,778,371,818,925,1846,317,115,146,502,186,75,11,539,332,469,NA,NA,NA,NA,NA,NA,NA
2017-03-08,2017-02-28,2017-03-08,2017-03-04,934,No opinion,294,152,142,168,90,36,144,137,12,52,65,135,42,127,167,128,75,91,158,43,89,22,42,17,17,NA,23,72,123,NA,NA,NA,NA,NA,NA,NA
2017-04-11,2017-03-30,2017-04-11,2017-04-05,937,Satisfied,1110,613,497,392,408,310,545,514,52,381,238,282,209,737,373,305,438,367,994,167,63,40,231,462,58,2,69,60,228,NA,NA,NA,NA,NA,NA,NA
2017-04-11,2017-03-30,2017-04-11,2017-04-05,937,Dissatisfied,1901,908,993,572,725,605,757,1013,132,522,466,535,378,1129,773,509,754,638,1698,231,72,95,408,220,46,21,446,346,414,NA,NA,NA,NA,NA,NA,NA
2017-04-11,2017-03-30,2017-04-11,2017-04-05,937,No opinion,263,82,181,134,53,76,75,156,32,54,131,66,12,127,136,53,102,107,168,66,46,37,21,6,NA,4,14,58,160,NA,NA,NA,NA,NA,NA,NA
2017-05-13,2017-04-27,2017-05-09,2017-05-03,921,Satisfied,1147,645,501,321,417,409,512,551,83,362,319,279,186,713,434,280,536,331,1029,156,56,46,231,527,32,12,63,65,218,NA,NA,NA,NA,NA,NA,NA
2017-05-13,2017-04-27,2017-05-09,2017-05-03,921,Dissatisfied,1847,834,1013,465,727,655,738,999,110,566,438,493,350,1179,668,359,743,745,1616,252,92,108,411,188,55,22,390,357,424,NA,NA,NA,NA,NA,NA,NA
2017-05-13,2017-04-27,2017-05-09,2017-05-03,921,No opinion,277,149,128,126,100,52,108,139,30,44,112,90,32,150,128,67,129,81,209,64,15,51,46,43,7,2,23,26,130,NA,NA,NA,NA,NA,NA,NA
2017-06-06,2017-05-25,2017-06-06,2017-05-31,938,Satisfied,1176,700,476,291,466,420,519,538,120,365,264,309,238,689,487,304,516,355,1086,161,47,28,229,508,50,29,73,85,203,NA,NA,NA,NA,NA,NA,NA
2017-06-06,2017-05-25,2017-06-06,2017-05-31,938,Dissatisfied,1878,867,1011,530,726,622,806,1000,72,520,520,515,323,1230,648,417,792,669,1722,323,75,64,460,215,59,16,421,337,369,NA,NA,NA,NA,NA,NA,NA
2017-06-06,2017-05-25,2017-06-06,2017-05-31,938,No opinion,299,83,216,125,92,81,98,181,20,64,98,88,48,171,128,84,92,124,210,53,28,51,45,25,NA,NA,47,36,145,NA,NA,NA,NA,NA,NA,NA
2017-07-11,2017-06-29,2017-07-11,2017-07-05,923,Satisfied,1293,686,607,364,526,403,656,521,116,387,310,331,266,709,584,318,562,414,1157,215,107,22,284,563,37,25,77,78,229,NA,NA,NA,NA,NA,NA,NA
2017-07-11,2017-06-29,2017-07-11,2017-07-05,923,Dissatisfied,1607,759,848,397,582,628,623,923,61,420,456,456,275,1088,519,324,655,628,1409,211,64,111,375,141,43,11,344,255,437,NA,NA,NA,NA,NA,NA,NA
2017-07-11,2017-06-29,2017-07-11,2017-07-05,923,No opinion,378,177,201,133,146,99,145,206,27,105,116,101,55,240,138,74,195,109,291,77,30,32,61,35,10,4,46,51,170,NA,NA,NA,NA,NA,NA,NA
2017-09-17,2017-08-31,2017-09-12,2017-09-06,937,Satisfied,1386,743,643,361,555,470,617,634,135,461,311,372,242,867,518,313,710,364,1260,237,66,25,238,647,46,6,86,79,283,NA,NA,NA,NA,NA,NA,NA
2017-09-17,2017-08-31,2017-09-12,2017-09-06,937,Dissatisfied,1661,801,860,443,645,573,624,960,77,433,478,430,320,1059,602,350,579,732,1472,272,93,81,322,179,45,36,411,281,386,NA,NA,NA,NA,NA,NA,NA
2017-09-17,2017-08-31,2017-09-12,2017-09-06,937,No opinion,325,122,203,121,115,88,156,157,12,73,105,104,42,184,141,95,118,112,240,49,41,26,55,47,11,3,12,45,152,NA,NA,NA,NA,NA,NA,NA
2017-10-15,2017-10-02,2017-10-10,2017-10-06,915,Satisfied,1285,641,644,333,420,532,586,605,95,418,326,281,260,746,539,365,532,388,1177,148,35,56,233,591,33,9,84,96,239,NA,NA,NA,NA,NA,NA,NA
2017-10-15,2017-10-02,2017-10-10,2017-10-06,915,Dissatisfied,1686,806,879,450,693,543,695,902,89,454,453,463,316,1061,624,336,664,685,1435,259,108,111,362,139,44,13,408,246,472,NA,NA,NA,NA,NA,NA,NA
2017-10-15,2017-10-02,2017-10-10,2017-10-06,915,No opinion,324,140,183,148,106,69,112,178,33,51,110,127,36,198,125,76,145,103,226,49,52,18,42,26,5,3,38,66,143,NA,NA,NA,NA,NA,NA,NA
2017-11-12,2017-10-26,2017-11-07,2017-11-01,919,Satisfied,1423,797,626,394,532,497,666,604,153,432,343,395,254,820,604,360,580,484,1326,220,45,39,303,667,21,15,87,113,218,NA,NA,NA,NA,NA,NA,NA
2017-11-12,2017-10-26,2017-11-07,2017-11-01,919,Dissatisfied,1490,707,783,333,622,536,571,853,66,376,430,374,311,951,540,297,630,563,1223,197,121,137,403,117,25,22,256,207,460,NA,NA,NA,NA,NA,NA,NA
2017-11-12,2017-10-26,2017-11-07,2017-11-01,919,No opinion,355,120,235,154,112,88,136,215,4,104,131,100,20,241,114,84,167,105,249,77,43,42,49,26,15,NA,35,40,190,NA,NA,NA,NA,NA,NA,NA
2017-12-24,2017-12-11,2017-12-19,2017-12-15,913,Satisfied,1700,891,809,390,688,622,803,775,122,569,410,437,284,1094,606,390,760,550,1582,275,83,29,328,697,82,21,150,180,241,NA,NA,NA,NA,NA,NA,NA
2017-12-24,2017-12-11,2017-12-19,2017-12-15,913,Dissatisfied,1260,567,692,350,490,420,460,729,70,310,358,361,231,749,511,297,486,477,1026,235,105,111,262,94,41,13,318,188,344,NA,NA,NA,NA,NA,NA,NA
2017-12-24,2017-12-11,2017-12-19,2017-12-15,913,No opinion,346,124,222,163,110,73,136,184,26,68,100,96,82,205,141,72,178,95,228,78,35,64,44,33,5,NA,23,53,189,NA,NA,NA,NA,NA,NA,NA
2018-01-16,2018-01-04,2018-01-16,2018-01-10,920,Satisfied,1469,736,733,382,560,528,703,668,98,438,362,444,225,869,601,345,625,500,1384,253,48,20,311,613,54,6,115,106,264,NA,NA,NA,NA,NA,NA,NA
2018-01-16,2018-01-04,2018-01-16,2018-01-10,920,Dissatisfied,1546,737,809,391,626,530,551,908,87,433,438,382,293,1048,498,325,667,554,1346,263,74,110,308,176,51,22,356,237,397,NA,NA,NA,NA,NA,NA,NA
