date,date_start,date_end,date_middle,sample_size,satisfaction_government,total,male,female,age_18_34,age_35_54,age_55,class_abc1,class_c2de,class_f,region_dublin,region_leinster,region_munster,region_connacht_ulster,area_urban,area_rural,const_seats_3,const_seats_4,const_seats_5,voting_vote,voting_prob_vote,voting_undecided,voting_not_vote,future_fianna_fail,future_fine_gael,future_labour,future_greens,future_sinn_fein,future_ind_oth,future_dont_know,past_fianna_fail,past_fine_gael,past_labour,past_greens,past_sinn_fein,past_ind_oth,past_dont_know
2014-12-21,2014-12-09,2014-12-17,2014-12-13,960,No opinion,0.02,0.02,0.02,0.04,0.01,0.01,0.03,0.01,NA,0.02,0.02,0.02,0.02,0.03,0.01,0.02,0.02,0.02,0.01,0.02,0.01,0.07,0.02,0.01,NA,NA,0.02,0.01,0.04,NA,NA,NA,NA,NA,NA,NA
2015-06-15,2015-06-05,2015-06-15,2015-06-10,912,Satisfied,0.29,0.32,0.27,0.24,0.31,0.34,0.37,0.22,0.39,0.39,0.26,0.19,0.34,0.32,0.26,0.21,0.3,0.35,0.32,0.27,0.17,0.1,0.23,0.73,0.55,NA,0.13,0.12,0.21,NA,NA,NA,NA,NA,NA,NA
2015-06-15,2015-06-05,2015-06-15,2015-06-10,912,Dissatisfied,0.63,0.62,0.64,0.66,0.64,0.6,0.58,0.67,0.6,0.55,0.64,0.74,0.58,0.62,0.65,0.7,0.66,0.55,0.63,0.6,0.74,0.61,0.71,0.23,0.42,NA,0.82,0.83,0.62,NA,NA,NA,NA,NA,NA,NA
2015-06-15,2015-06-05,2015-06-15,2015-06-10,912,No opinion,0.08,0.06,0.09,0.11,0.06,0.06,0.05,0.1,0.01,0.06,0.09,0.07,0.08,0.06,0.09,0.09,0.04,0.1,0.05,0.13,0.09,0.29,0.06,0.04,0.03,NA,0.05,0.05,0.17,NA,NA,NA,NA,NA,NA,NA
2015-07-18,2015-07-04,2015-07-14,2015-07-09,940,Satisfied,0.29,0.32,0.27,0.24,0.31,0.34,0.37,0.22,0.39,0.39,0.26,0.19,0.34,0.32,0.26,0.21,0.3,0.35,0.32,0.27,0.17,0.1,0.23,0.73,0.55,NA,0.13,0.12,0.21,NA,NA,NA,NA,NA,NA,NA
2015-07-18,2015-07-04,2015-07-14,2015-07-09,940,Dissatisfied,0.63,0.62,0.64,0.66,0.64,0.6,0.58,0.67,0.6,0.55,0.64,0.74,0.58,0.62,0.65,0.7,0.66,0.55,0.63,0.6,0.74,0.61,0.71,0.23,0.42,NA,0.82,0.83,0.62,NA,NA,NA,NA,NA,NA,NA
2015-07-18,2015-07-04,2015-07-14,2015-07-09,940,No opinion,0.08,0.06,0.09,0.11,0.06,0.06,0.05,0.1,0.01,0.06,0.09,0.07,0.08,0.06,0.09,0.09,0.04,0.1,0.05,0.13,0.09,0.29,0.06,0.04,0.03,NA,0.05,0.05,0.17,NA,NA,NA,NA,NA,NA,NA
2015-08-15,2015-08-02,2015-08-12,2015-08-07,898,Satisfied,0.3,0.32,0.28,0.26,0.3,0.34,0.35,0.22,0.56,0.35,0.26,0.3,0.27,0.31,0.28,0.23,0.33,0.32,0.33,0.29,0.07,0.13,0.22,0.81,0.47,0.43,0.11,0.13,0.17,NA,NA,NA,NA,NA,NA,NA
2015-08-15,2015-08-02,2015-08-12,2015-08-07,898,Dissatisfied,0.61,0.61,0.61,0.57,0.64,0.61,0.54,0.68,0.42,0.6,0.64,0.59,0.6,0.61,0.61,0.63,0.63,0.57,0.6,0.62,0.79,0.6,0.69,0.14,0.4,0.53,0.85,0.84,0.62,NA,NA,NA,NA,NA,NA,NA
2015-08-15,2015-08-02,2015-08-12,2015-08-07,898,No opinion,0.09,0.07,0.12,0.17,0.06,0.05,0.1,0.09,0.02,0.05,0.1,0.1,0.13,0.08,0.11,0.14,0.04,0.11,0.07,0.09,0.14,0.27,0.09,0.05,0.12,0.04,0.03,0.03,0.2,NA,NA,NA,NA,NA,NA,NA
